gloss_sequence,vietnamese_sentence
me can bao_nhieu tivi,Mẹ cần bao nhiêu ti vi?
nam thay_giao dang di_hoc,Năm thầy giáo đang đi học.
nguoi_khiem_thinh thich di_benh_vien,Người khiếm thính thích đi bệnh viện.
buoi_toi thay_giao dang an,Buổi tối thầy giáo đang ăn.
buoi_sang ban bi dau_chan,Buổi sáng bạn bị đau chân.
buoi_sang thay_giao dang di_cho,Buổi sáng thầy giáo đang đi chợ.
chu_nhat con_trai bi cam_lanh,Chủ nhật con trai bị cảm lạnh.
buoi_chieu nguoi_khiem_thinh bi dau,Buổi chiều người khiếm thính bị đau.
chu_nhat nguoi_khiem_thinh bi bi_thuong,Chủ nhật người khiếm thính bị bị thương.
toi_nay em bi dau_lung,Tối nay em bị đau lưng.
ngay bo hoc_bai,Ngày bố học bài.
thu_hai con_gai dang chay,Thứ hai con gái đang chạy.
buoi_chieu em bi dau_chan,Buổi chiều em bị đau chân.
ngay co_giao dang choi,Ngày cô giáo đang chơi.
hom_qua me dang di_cho,Hôm qua mẹ đang đi chợ.
thay_giao can kinh khong,Thầy giáo có cần kính không?
thu_bay ban viet,Thứ bảy bạn viết.
ong can nam bun,Ông cần năm bún.
buoi_toi ong an,Buổi tối ông ăn.
buoi_sang co_giao lam_viec,Buổi sáng cô giáo làm việc.
mua_he con_trai bi chay_mau,Mùa hè con trai bị chảy máu.
toi muon bun o nha,Tôi muốn bún ở nhà.
thu_bay nguoi_khiem_thinh bi dau,Thứ bảy người khiếm thính bị đau.
toi_nay co lam_bai_tap,Tối nay cô làm bài tập.
hom_nay anh bi buon_non,Hôm nay anh bị buồn nôn.
ngay_mai me se di benh_vien,Ngày mai mẹ sẽ đi bệnh viện.
thu_ba em bi dau_dau,Thứ ba em bị đau đầu.
thu_ba em dang choi,Thứ ba em đang chơi.
con_trai thich ca,Con trai thích cá.
con_gai di duong,Con gái đi đường.
thu_nam bo bi chong_mat,Thứ năm bố bị chóng mặt.
nam thay_giao nghi,Năm thầy giáo nghỉ.
em muon chao o lop_hoc,Em muốn cháo ở lớp học.
ban tim ba_lo,Bạn tìm ba lô.
buoi_sang con_trai dang chay,Buổi sáng con trai đang chạy.
thu_ba co dang uong,Thứ ba cô đang uống.
ong muon mot_tram com,Ông muốn một trăm cơm.
chi can ba_muoi nuoc_cam,Chị cần ba mươi nước cam.
bo da tam,Bố đã tắm.
ong can sach,Ông cần sách.
em muon thuoc,Em muốn thuốc.
buoi_toi em se di nha,Buổi tối em sẽ đi nhà.
hom_qua co dang uong,Hôm qua cô đang uống.
em muon nam bun,Em muốn năm bún.
chi se noi,Chị sẽ nói.
ngay_mai ong dang nghi,Ngày mai ông đang nghỉ.
ong muon bay nuoc_cam,Ông muốn bảy nước cam.
co bi kho_tho,Cô bị khó thở.
vo thom,Vở thơm.
bo can hai_muoi nuoc_cam,Bố cần hai mươi nước cam.
ngay_mai thay_giao bi dau,Ngày mai thầy giáo bị đau.
ba da ngu,Bà đã ngủ.
ong den lop_hoc,Ông đến lớp học.
mua_he thay_giao bi dau_bung,Mùa hè thầy giáo bị đau bụng.
nam nguoi_khiem_thinh bi dau_chan,Năm người khiếm thính bị đau chân.
ong mat tivi,Ông mất ti vi.
em tim ba_lo,Em tìm ba lô.
ngay_mai em se di nha_thuoc,Ngày mai em sẽ đi nhà thuốc.
buoi_chieu toi dang an,Buổi chiều tôi đang ăn.
em muon ba com,Em muốn ba cơm.
ong khong nghi,Ông không nghỉ.
bo bi kho_tho nen can giup_do,Bố bị khó thở nên cần giúp đỡ.
ngay_mai ban dang doc_sach,Ngày mai bạn đang đọc sách.
thang chi dang chay,Tháng chị đang chạy.
ban da di_hoc,Bạn đã đi học.
bo thich ba_lo,Bố thích ba lô.
co dang giat_do,Cô đang giặt đồ.
ban tim cua,Bạn tìm cửa.
bo can di_benh_vien khong,Bố có cần đi bệnh viện không?
thu_sau ba hoc_bai,Thứ sáu bà học bài.
bo muon ba nuoc_cam,Bố muốn ba nước cam.
gia_dinh o lop_hoc,Gia đình ở lớp học.
me muon hai_muoi vo,Mẹ muốn hai mươi vở.
thu_bay co_giao an,Thứ bảy cô giáo ăn.
con_trai can ban_do khong,Con trai có cần bản đồ không?
toi can bay may_tinh,Tôi cần bảy máy tính.
buoi_trua chi se di nha,Buổi trưa chị sẽ đi nhà.
thang me bi bi_thuong,Tháng mẹ bị bị thương.
buoi_trua anh se di nha_thuoc,Buổi trưa anh sẽ đi nhà thuốc.
buoi_sang ban bi sot,Buổi sáng bạn bị sốt.
anh bi ho nen can goi_bac_si,Anh bị ho nên cần gọi bác sĩ.
buoi_chieu chi di_hoc,Buổi chiều chị đi học.
me o cho,Mẹ ở chợ.
anh can ba_muoi may_tinh,Anh cần ba mươi máy tính.
ngay benh_nhan bi dau_hong,Ngày bệnh nhân bị đau họng.
buoi_toi nguoi_khiem_thinh dang noi,Buổi tối người khiếm thính đang nói.
bo thich bun,Bố thích bún.
buoi_toi em dang nau_an,Buổi tối em đang nấu ăn.
em dang tap_the_duc,Em đang tập thể dục.
buoi_toi co lam_bai_tap,Buổi tối cô làm bài tập.
thay_giao can but khong,Thầy giáo có cần bút không?
thu_sau thay_giao noi,Thứ sáu thầy giáo nói.
thu_sau ban doc_sach,Thứ sáu bạn đọc sách.
mua_he con_trai bi di_ung,Mùa hè con trai bị dị ứng.
thu_hai co_giao bi dau_bung,Thứ hai cô giáo bị đau bụng.
ong muon trai_cay,Ông muốn trái cây.
co_giao can sac_pin,Cô giáo cần sạc pin.
mua_he ong noi,Mùa hè ông nói.
bay_gio con_gai dang di_bo,Bây giờ con gái đang đi bộ.
em can tam bun,Em cần tám bún.
thu_sau chung_toi dang tam,Thứ sáu chúng tôi đang tắm.
thu_hai em se di sieu_thi,Thứ hai em sẽ đi siêu thị.
ong can ba_muoi dien_thoai,Ông cần ba mươi điện thoại.
nam co dang nghi,Năm cô đang nghỉ.
chi can thit khong,Chị có cần thịt không?
ban can dien_thoai khong,Bạn có cần điện thoại không?
me la cong_nhan,Mẹ là công nhân.
con_trai can xe_cuu_thuong,Con trai cần xe cứu thương.
co_giao muon may_tinh,Cô giáo muốn máy tính.
mua_dong co bi dau_chan,Mùa đông cô bị đau chân.
thu_sau co dang choi,Thứ sáu cô đang chơi.
thu_nam me dang an,Thứ năm mẹ đang ăn.
quan mau_vang,Quần màu vàng.
nguoi_khiem_thinh di cho,Người khiếm thính đi chợ.
toi can kinh,Tôi cần kính.
thu_hai anh bi bi_thuong,Thứ hai anh bị bị thương.
buoi_trua toi dang di_cho,Buổi trưa tôi đang đi chợ.
may_tinh ban,Máy tính bẩn.
ban muon mot_tram pho,Bạn muốn một trăm phở.
thu_bay ba dang lam_bai_tap,Thứ bảy bà đang làm bài tập.
chu_nhat toi bi kho_tho,Chủ nhật tôi bị khó thở.
ngay_mai benh_nhan bi dau_dau,Ngày mai bệnh nhân bị đau đầu.
ba khong viet,Bà không viết.
thu_tu chi dang di_bo,Thứ tư chị đang đi bộ.
toi_nay ong dang nau_an,Tối nay ông đang nấu ăn.
ban o duong,Bạn ở đường.
em can hai_muoi but,Em cần hai mươi bút.
thu_tu co_giao bi dau,Thứ tư cô giáo bị đau.
chi muon sau banh_mi,Chị muốn sáu bánh mì.
toi_nay thay_giao dang nau_an,Tối nay thầy giáo đang nấu ăn.
mua_he benh_nhan dang tap_the_duc,Mùa hè bệnh nhân đang tập thể dục.
chi can mot_tram banh_mi,Chị cần một trăm bánh mì.
buoi_toi thay_giao bi kho_tho,Buổi tối thầy giáo bị khó thở.
noi_com_dien on_ao,Nồi cơm điện ồn ào.
toi_nay anh hoc_bai,Tối nay anh học bài.
thang me bi sot,Tháng mẹ bị sốt.
buoi_chieu co dang nau_an,Buổi chiều cô đang nấu ăn.
ngay em dang choi,Ngày em đang chơi.
thu_sau benh_nhan bi dau,Thứ sáu bệnh nhân bị đau.
buoi_trua ong lam_viec,Buổi trưa ông làm việc.
toi can chao khong,Tôi có cần cháo không?
nam nguoi_khiem_thinh bi chay_mau,Năm người khiếm thính bị chảy máu.
toi_nay benh_nhan bi dau_lung,Tối nay bệnh nhân bị đau lưng.
thang nguoi_khiem_thinh dang di_hoc,Tháng người khiếm thính đang đi học.
anh cam_thay lo_lang,Anh cảm thấy lo lắng.
co muon banh_mi,Cô muốn bánh mì.
lam_on dua ban giup toi,Làm ơn đưa bàn giúp tôi.
ngay_mai toi se di van_phong,Ngày mai tôi sẽ đi văn phòng.
bay_gio toi se di nha,Bây giờ tôi sẽ đi nhà.
bo muon hai dien_thoai,Bố muốn hai điện thoại.
thu_bay thay_giao dang di_hoc,Thứ bảy thầy giáo đang đi học.
buoi_chieu nguoi_khiem_thinh dang nghe,Buổi chiều người khiếm thính đang nghe.
ong can chin den,Ông cần chín đèn.
thu_tu benh_nhan dang hoc_bai,Thứ tư bệnh nhân đang học bài.
bo khong_thich com,Bố không thích cơm.
nam benh_nhan dang an,Năm bệnh nhân đang ăn.
lam_on lay nguoi_phien_dich giup toi,Làm ơn lấy người phiên dịch giúp tôi.
thu_sau co bi dau_tay,Thứ sáu cô bị đau tay.
ong bi dau_bung nen can goi_y_ta,Ông bị đau bụng nên cần gọi y tá.
ong can bon banh_mi,Ông cần bốn bánh mì.
toi o nha_thuoc,Tôi ở nhà thuốc.
mu nhanh,Mũ nhanh.
chu_nhat bo bi di_ung,Chủ nhật bố bị dị ứng.
ban muon ba com,Bạn muốn ba cơm.
thu_nam con_gai dang tap_the_duc,Thứ năm con gái đang tập thể dục.
me can sau chao,Mẹ cần sáu cháo.
chu_nhat ban bi dau_hong,Chủ nhật bạn bị đau họng.
buoi_toi chi bi sot,Buổi tối chị bị sốt.
chi buon tai_sao,Tại sao chị buồn?
buoi_trua bo doc_sach,Buổi trưa bố đọc sách.
thu_tu ba bi chong_mat,Thứ tư bà bị chóng mặt.
buoi_chieu con_trai dang choi,Buổi chiều con trai đang chơi.
thu_ba ban bi di_ung,Thứ ba bạn bị dị ứng.
co_giao thich goi_bac_si,Cô giáo thích gọi bác sĩ.
bo can tam sach,Bố cần tám sách.
mua_dong bo bi chay_mau,Mùa đông bố bị chảy máu.
ong muon muoi den,Ông muốn mười đèn.
thu_ba co dang choi,Thứ ba cô đang chơi.
con_gai den phong_kham,Con gái đến phòng khám.
thu_sau co dang di_hoc,Thứ sáu cô đang đi học.
ngay ba dang xem,Ngày bà đang xem.
nam thay_giao ngu,Năm thầy giáo ngủ.
toi can muoi sua,Tôi cần mười sữa.
ngay ong bi kho_tho,Ngày ông bị khó thở.
anh can khau_trang,Anh cần khẩu trang.
mua_dong chung_toi dang tam,Mùa đông chúng tôi đang tắm.
mua_he thay_giao bi dau_chan,Mùa hè thầy giáo bị đau chân.
ban muon thit o lop_hoc,Bạn muốn thịt ở lớp học.
ban muon bay sach,Bạn muốn bảy sách.
em bi chong_mat nen can goi_bac_si,Em bị chóng mặt nên cần gọi bác sĩ.
co muon di truong,Cô muốn đi trường.
thay_giao can banh,Thầy giáo cần bánh.
co mat but,Cô mất bút.
thu_hai me bi bi_thuong,Thứ hai mẹ bị bị thương.
mua_dong chi dang lam_bai_tap,Mùa đông chị đang làm bài tập.
ban da lam_viec,Bạn đã làm việc.
anh bi dau_tay nen can nghi_ngoi,Anh bị đau tay nên cần nghỉ ngơi.
mua_he anh di_hoc,Mùa hè anh đi học.
thang thay_giao viet,Tháng thầy giáo viết.
xe_cuu_thuong o_dau,Xe cứu thương ở đâu?
ngay co viet,Ngày cô viết.
lam_on goi ao giup toi,Làm ơn gọi áo giúp tôi.
chi can hai tivi,Chị cần hai ti vi.
thu_ba con_trai dang tam,Thứ ba con trai đang tắm.
con_trai can di_nha_ve_sinh khong,Con trai có cần đi nhà vệ sinh không?
co can giay,Cô cần giấy.
em muon chin chao,Em muốn chín cháo.
ban bi sot nen can goi_bac_si,Bạn bị sốt nên cần gọi bác sĩ.
thu_tu benh_nhan bi dau_chan,Thứ tư bệnh nhân bị đau chân.
mua_dong co dang chay,Mùa đông cô đang chạy.
em tim dong_ho,Em tìm đồng hồ.
bay_gio em bi buon_non,Bây giờ em bị buồn nôn.
toi_nay ba bi dau_hong,Tối nay bà bị đau họng.
thu_nam chi bi dau_chan,Thứ năm chị bị đau chân.
mua_he thay_giao bi chay_mau,Mùa hè thầy giáo bị chảy máu.
co_giao muon ban_phim,Cô giáo muốn bàn phím.
em muon sau pho,Em muốn sáu phở.
hom_nay con_gai bi met,Hôm nay con gái bị mệt.
thu_sau thay_giao bi dau_bung,Thứ sáu thầy giáo bị đau bụng.
hom_qua ba dang chay,Hôm qua bà đang chạy.
thu_bay em dang lam_viec,Thứ bảy em đang làm việc.
buoi_chieu con_gai dang di_bo,Buổi chiều con gái đang đi bộ.
em muon nuoc_cam o nha_thuoc,Em muốn nước cam ở nhà thuốc.
anh muon nuoc,Anh muốn nước.
thu_nam ba bi cam_lanh,Thứ năm bà bị cảm lạnh.
hom_nay toi viet,Hôm nay tôi viết.
toi da xem,Tôi đã xem.
em can sau but,Em cần sáu bút.
thu_ba chi bi cam_lanh,Thứ ba chị bị cảm lạnh.
buoi_chieu benh_nhan dang viet,Buổi chiều bệnh nhân đang viết.
ong muon ca o cho,Ông muốn cá ở chợ.
toi_nay chi bi kho_tho,Tối nay chị bị khó thở.
ban co giuong khong,Bạn có giường không?
chu_nhat chi bi dau_chan,Chủ nhật chị bị đau chân.
hom_qua toi dang nghe,Hôm qua tôi đang nghe.
buoi_trua bo bi dau,Buổi trưa bố bị đau.
em muon ba den,Em muốn ba đèn.
bo muon mot_tram bun,Bố muốn một trăm bún.
buoi_sang me bi met,Buổi sáng mẹ bị mệt.
em mat dong_ho,Em mất đồng hồ.
nam chung_toi bi met,Năm chúng tôi bị mệt.
em can tam tivi,Em cần tám ti vi.
toi_nay nguoi_khiem_thinh bi dau,Tối nay người khiếm thính bị đau.
me bi dau_hong nen can thuoc,Mẹ bị đau họng nên cần thuốc.
vo tot,Vở tốt.
thu_tu co_giao bi cam_lanh,Thứ tư cô giáo bị cảm lạnh.
chi can hai vo,Chị cần hai vở.
hom_nay toi dang choi,Hôm nay tôi đang chơi.
thu_hai toi doc_sach,Thứ hai tôi đọc sách.
ong bi dau_hong nen can goi_y_ta,Ông bị đau họng nên cần gọi y tá.
ngay_mai bo bi sot,Ngày mai bố bị sốt.
thu_nam chung_toi bi cam_lanh,Thứ năm chúng tôi bị cảm lạnh.
ban bi dau_chan nen can thuoc,Bạn bị đau chân nên cần thuốc.
thu_tu con_gai dang tam,Thứ tư con gái đang tắm.
ao mau_hong,Áo màu hồng.
anh muon mua tra,Anh muốn mua trà.
buoi_chieu em se di sieu_thi,Buổi chiều em sẽ đi siêu thị.
anh khong tam,Anh không tắm.
nam ong dang di_cho,Năm ông đang đi chợ.
ngay con_gai dang tap_the_duc,Ngày con gái đang tập thể dục.
chi can vo,Chị cần vở.
co di ben_xe,Cô đi bến xe.
ong thich thit,Ông thích thịt.
toi can com khong,Tôi có cần cơm không?
thu_sau thay_giao an,Thứ sáu thầy giáo ăn.
ban can chin pho,Bạn cần chín phở.
buoi_sang chi nghi,Buổi sáng chị nghỉ.
bo can muoi ban_phim,Bố cần mười bàn phím.
toi tim may_tinh,Tôi tìm máy tính.
ong muon ba_muoi but,Ông muốn ba mươi bút.
ban can hai dien_thoai,Bạn cần hai điện thoại.
thu_nam ban dang nghi,Thứ năm bạn đang nghỉ.
buoi_trua co bi bi_thuong,Buổi trưa cô bị bị thương.
em bi sot nen can di_nha_ve_sinh,Em bị sốt nên cần đi nhà vệ sinh.
ngay em bi dau_lung,Ngày em bị đau lưng.
chu_nhat anh bi buon_non,Chủ nhật anh bị buồn nôn.
anh muon chin vo,Anh muốn chín vở.
buoi_toi con_trai bi di_ung,Buổi tối con trai bị dị ứng.
bay_gio toi ngu,Bây giờ tôi ngủ.
mua_he co_giao bi ho,Mùa hè cô giáo bị ho.
toi_nay nguoi_khiem_thinh dang ngu,Tối nay người khiếm thính đang ngủ.
ngay_mai ban bi bi_thuong,Ngày mai bạn bị bị thương.
toi can mot_tram sach,Tôi cần một trăm sách.
hom_nay bo dang lam_viec,Hôm nay bố đang làm việc.
thu_tu co_giao dang an,Thứ tư cô giáo đang ăn.
thu_sau chi dang di_cho,Thứ sáu chị đang đi chợ.
y_ta can quan,Y tá cần quần.
mua_dong con_trai bi dau,Mùa đông con trai bị đau.
buoi_trua nguoi_khiem_thinh dang di_hoc,Buổi trưa người khiếm thính đang đi học.
toi can tam bun,Tôi cần tám bún.
bac_si can nuoc,Bác sĩ cần nước.
me muon sua o sieu_thi,Mẹ muốn sữa ở siêu thị.
ngay_mai chi dang choi,Ngày mai chị đang chơi.
buoi_sang co_giao bi dau_lung,Buổi sáng cô giáo bị đau lưng.
toi muon but,Tôi muốn bút.
chi khong muon ao,Chị không muốn áo.
thay_giao can giay khong,Thầy giáo có cần giấy không?
anh can xe_cuu_thuong,Anh cần xe cứu thương.
me can xe_cuu_thuong khong,Mẹ có cần xe cứu thương không?
buoi_trua nguoi_khiem_thinh dang rua_tay,Buổi trưa người khiếm thính đang rửa tay.
ngay benh_nhan bi kho_tho,Ngày bệnh nhân bị khó thở.
ban can ao,Bạn cần áo.
co_giao can vo khong,Cô giáo có cần vở không?
thang anh viet,Tháng anh viết.
ban muon ba may_tinh,Bạn muốn ba máy tính.
ong den san_bay,Ông đến sân bay.
bay_gio chi dang di_cho,Bây giờ chị đang đi chợ.
chi can tra,Chị cần trà.
thu_nam me dang di_cho,Thứ năm mẹ đang đi chợ.
me can thit,Mẹ cần thịt.
thu_hai co_giao bi ho,Thứ hai cô giáo bị ho.
hom_nay em bi dau,Hôm nay em bị đau.
thu_hai benh_nhan dang nau_an,Thứ hai bệnh nhân đang nấu ăn.
buoi_toi ong bi chay_mau,Buổi tối ông bị chảy máu.
ong can thit khong,Ông có cần thịt không?
thu_tu toi bi dau_bung,Thứ tư tôi bị đau bụng.
bay_gio ban bi dau_hong,Bây giờ bạn bị đau họng.
bac_si can di_nha_ve_sinh,Bác sĩ cần đi nhà vệ sinh.
hom_nay bo nghi,Hôm nay bố nghỉ.
mua_dong co dang uong,Mùa đông cô đang uống.
buoi_toi co dang rua_tay,Buổi tối cô đang rửa tay.
chu_nhat nguoi_khiem_thinh bi chong_mat,Chủ nhật người khiếm thính bị chóng mặt.
bo bi dau_tay nen can thuc_an,Bố bị đau tay nên cần thức ăn.
hom_qua ba bi met,Hôm qua bà bị mệt.
bay_gio benh_nhan bi dau_chan,Bây giờ bệnh nhân bị đau chân.
ngay_mai me dang lam_bai_tap,Ngày mai mẹ đang làm bài tập.
chu_nhat chung_toi dang an,Chủ nhật chúng tôi đang ăn.
chu_nhat nguoi_khiem_thinh dang nau_an,Chủ nhật người khiếm thính đang nấu ăn.
nguoi_khiem_thinh can ban_phim khong,Người khiếm thính có cần bàn phím không?
chi muon tra,Chị muốn trà.
bay_gio chi viet,Bây giờ chị viết.
bo bi ho nen can com,Bố bị ho nên cần cơm.
buoi_sang con_trai dang nau_an,Buổi sáng con trai đang nấu ăn.
ban bi dau_chan nen can goi_bac_si,Bạn bị đau chân nên cần gọi bác sĩ.
bo bi dau_hong nen can giup_do,Bố bị đau họng nên cần giúp đỡ.
vo yen_tinh,Vở yên tĩnh.
ba can goi_y_ta,Bà cần gọi y tá.
chu_nhat con_gai dang an,Chủ nhật con gái đang ăn.
con_trai can nghi_ngoi khong,Con trai có cần nghỉ ngơi không?
thu_bay anh dang ngu,Thứ bảy anh đang ngủ.
buoi_trua co_giao dang mua_sam,Buổi trưa cô giáo đang mua sắm.
thu_sau em bi dau_dau,Thứ sáu em bị đau đầu.
chi bi kho_tho can goi_bac_si,"Chị bị khó thở, cần gọi bác sĩ."
ngay bo nghi,Ngày bố nghỉ.
ban cam_thay lanh,Bạn cảm thấy lạnh.
co_giao thich kinh_lup,Cô giáo thích kính lúp.
mua_dong co an,Mùa đông cô ăn.
nam co_giao dang ngu,Năm cô giáo đang ngủ.
chi bi kho_tho nen can com,Chị bị khó thở nên cần cơm.
thu_sau chi dang an,Thứ sáu chị đang ăn.
ban cam_thay buon,Bạn cảm thấy buồn.
ngay_mai anh dang nghe,Ngày mai anh đang nghe.
con_trai thich ghe,Con trai thích ghế.
buoi_sang me bi di_ung,Buổi sáng mẹ bị dị ứng.
nguoi_than cam_thay tuc_gian,Người thân cảm thấy tức giận.
thu_ba co_giao bi bi_thuong,Thứ ba cô giáo bị bị thương.
buoi_sang bo se di benh_vien,Buổi sáng bố sẽ đi bệnh viện.
mua_dong ong dang nau_an,Mùa đông ông đang nấu ăn.
ban can mu khong,Bạn có cần mũ không?
em den truong,Em đến trường.
bo can hai_muoi vo,Bố cần hai mươi vở.
me se nghe,Mẹ sẽ nghe.
bay_gio thay_giao bi sot,Bây giờ thầy giáo bị sốt.
thu_hai bo an,Thứ hai bố ăn.
co muon tivi,Cô muốn ti vi.
ngay anh lam_viec,Ngày anh làm việc.
ong can thuc_an khong,Ông có cần thức ăn không?
thu_tu benh_nhan bi chong_mat,Thứ tư bệnh nhân bị chóng mặt.
buoi_sang chi dang nghe,Buổi sáng chị đang nghe.
anh dang rua_tay,Anh đang rửa tay.
chi o nha_bep,Chị ở nhà bếp.
thang benh_nhan bi bi_thuong,Tháng bệnh nhân bị bị thương.
toi bi sot nen can di_benh_vien,Tôi bị sốt nên cần đi bệnh viện.
hom_qua con_trai dang nghi,Hôm qua con trai đang nghỉ.
thu_tu con_gai bi chay_mau,Thứ tư con gái bị chảy máu.
hom_nay thay_giao di_hoc,Hôm nay thầy giáo đi học.
buoi_trua ban nghe,Buổi trưa bạn nghe.
hom_qua ba bi dau_lung,Hôm qua bà bị đau lưng.
buoi_toi co_giao dang rua_tay,Buổi tối cô giáo đang rửa tay.
thu_bay toi bi cam_lanh,Thứ bảy tôi bị cảm lạnh.
ong thich nguoi_phien_dich,Ông thích người phiên dịch.
buoi_trua bo dang lam_bai_tap,Buổi trưa bố đang làm bài tập.
thu_tu bo bi cam_lanh,Thứ tư bố bị cảm lạnh.
hom_nay thay_giao dang di_bo,Hôm nay thầy giáo đang đi bộ.
anh di xe_bus,Anh đi xe buýt.
nam con_trai bi dau_dau,Năm con trai bị đau đầu.
co_giao muon but,Cô giáo muốn bút.
sach mau_cam,Sách màu cam.
bay_gio anh bi buon_non,Bây giờ anh bị buồn nôn.
ngay_mai ba dang tam,Ngày mai bà đang tắm.
ngay anh dang an,Ngày anh đang ăn.
em can hai sach,Em cần hai sách.
thu_sau con_gai bi met,Thứ sáu con gái bị mệt.
nam con_gai bi chay_mau,Năm con gái bị chảy máu.
buoi_trua ba dang di_bo,Buổi trưa bà đang đi bộ.
thu_bay em dang nghe,Thứ bảy em đang nghe.
hom_qua toi viet,Hôm qua tôi viết.
em muon ca_phe o truong,Em muốn cà phê ở trường.
anh khong muon com,Anh không muốn cơm.
thu_bay chi lam_viec,Thứ bảy chị làm việc.
thu_sau toi an,Thứ sáu tôi ăn.
ban xau,Bàn xấu.
toi_nay me se di van_phong,Tối nay mẹ sẽ đi văn phòng.
thang toi dang di_bo,Tháng tôi đang đi bộ.
thu_bay co_giao nghi,Thứ bảy cô giáo nghỉ.
mua_dong ba bi ho,Mùa đông bà bị ho.
ban can hai pho,Bạn cần hai phở.
thu_tu em bi buon_non,Thứ tư em bị buồn nôn.
ngay me doc_sach,Ngày mẹ đọc sách.
toi tim dien_thoai,Tôi tìm điện thoại.
thu_tu me bi sot,Thứ tư mẹ bị sốt.
buoi_trua co an,Buổi trưa cô ăn.
thu_bay co bi cam_lanh,Thứ bảy cô bị cảm lạnh.
mua_dong co dang mua_sam,Mùa đông cô đang mua sắm.
buoi_sang chi bi met,Buổi sáng chị bị mệt.
con_gai thich dia_chi,Con gái thích địa chỉ.
hom_nay ong bi bi_thuong,Hôm nay ông bị bị thương.
buoi_sang bo dang di_hoc,Buổi sáng bố đang đi học.
ong muon nuoc_cam o phong_kham,Ông muốn nước cam ở phòng khám.
ban muon tam pho,Bạn muốn tám phở.
buoi_trua em dang ngu,Buổi trưa em đang ngủ.
buoi_toi chung_toi dang giat_do,Buổi tối chúng tôi đang giặt đồ.
thu_nam ba bi kho_tho,Thứ năm bà bị khó thở.
mua_he chung_toi bi sot,Mùa hè chúng tôi bị sốt.
ngay_mai toi doc_sach,Ngày mai tôi đọc sách.
bo can thuoc,Bố cần thuốc.
ong khong muon khau_trang,Ông không muốn khẩu trang.
con_gai can ban_do,Con gái cần bản đồ.
co tim dien_thoai,Cô tìm điện thoại.
chi can ba dien_thoai,Chị cần ba điện thoại.
benh_nhan den nha_bep,Bệnh nhân đến nhà bếp.
thu_ba nguoi_khiem_thinh bi ho,Thứ ba người khiếm thính bị ho.
buoi_sang con_trai dang hoc_bai,Buổi sáng con trai đang học bài.
toi_nay thay_giao bi dau_bung,Tối nay thầy giáo bị đau bụng.
chi muon mot chao,Chị muốn một cháo.
bo can ao_khoac,Bố cần áo khoác.
co can thuc_an,Cô cần thức ăn.
hom_nay nguoi_khiem_thinh dang nghi,Hôm nay người khiếm thính đang nghỉ.
anh can chin pho,Anh cần chín phở.
toi la nghe_nghiep,Tôi là nghề nghiệp.
buoi_trua chi dang nghi,Buổi trưa chị đang nghỉ.
ba thich thit,Bà thích thịt.
thu_ba con_trai dang nau_an,Thứ ba con trai đang nấu ăn.
buoi_chieu chung_toi dang lam_bai_tap,Buổi chiều chúng tôi đang làm bài tập.
thu_hai toi dang di_cho,Thứ hai tôi đang đi chợ.
buoi_sang benh_nhan dang nghe,Buổi sáng bệnh nhân đang nghe.
toi_nay chung_toi dang rua_tay,Tối nay chúng tôi đang rửa tay.
thu_ba em dang nghi,Thứ ba em đang nghỉ.
buoi_trua chi bi chay_mau,Buổi trưa chị bị chảy máu.
em can kinh,Em cần kính.
nguoi_khiem_thinh muon kinh,Người khiếm thính muốn kính.
anh muon chao o truong,Anh muốn cháo ở trường.
thang bo noi,Tháng bố nói.
toi la hoc_sinh,Tôi là học sinh.
ngay ba noi,Ngày bà nói.
thay_giao can di_nha_ve_sinh,Thầy giáo cần đi nhà vệ sinh.
me can nguoi_phien_dich khong,Mẹ có cần người phiên dịch không?
me muon sua o nha_thuoc,Mẹ muốn sữa ở nhà thuốc.
hom_qua bo dang noi,Hôm qua bố đang nói.
mua_he nguoi_khiem_thinh dang di_hoc,Mùa hè người khiếm thính đang đi học.
hom_qua benh_nhan bi cam_lanh,Hôm qua bệnh nhân bị cảm lạnh.
buoi_chieu em dang rua_tay,Buổi chiều em đang rửa tay.
thu_bay toi dang choi,Thứ bảy tôi đang chơi.
mua_he toi dang mua_sam,Mùa hè tôi đang mua sắm.
hom_qua co bi bi_thuong,Hôm qua cô bị bị thương.
buoi_trua benh_nhan bi ho,Buổi trưa bệnh nhân bị ho.
em bi dau_lung nen can goi_bac_si,Em bị đau lưng nên cần gọi bác sĩ.
thu_sau chi bi bi_thuong,Thứ sáu chị bị bị thương.
ba can ca khong,Bà có cần cá không?
thu_nam con_trai dang choi,Thứ năm con trai đang chơi.
thay_giao bi chong_mat nen can goi_bac_si,Thầy giáo bị chóng mặt nên cần gọi bác sĩ.
em mat ban_phim,Em mất bàn phím.
buoi_trua nguoi_khiem_thinh dang di_cho,Buổi trưa người khiếm thính đang đi chợ.
mua_he ban hoc_bai,Mùa hè bạn học bài.
co den duong,Cô đến đường.
thang bo doc_sach,Tháng bố đọc sách.
co thich chao,Cô thích cháo.
buoi_sang con_trai bi dau,Buổi sáng con trai bị đau.
ba di nha_bep,Bà đi nhà bếp.
chi can muoi com,Chị cần mười cơm.
ban se lam_viec,Bạn sẽ làm việc.
co_giao muon di ban,Cô giáo muốn đi bàn.
ong muon mot sach,Ông muốn một sách.
em tim ghe,Em tìm ghế.
